Fund_Code,Basic Materials,Consumer Cyclical,Financial Services,Real Estate,Consumer Defensive,Healthcare,Utilities,Communication Services,Energy,Industrials,Technology
DIA,1.08%,13.78%,20.14%,0.00%,7.08%,19.96%,0.00%,2.75%,3.22%,14.57%,17.17%
RERGX,8.12%,13.81%,11.12%,0.35%,6.18%,13.17%,0.94%,3.07%,8.21%,13.65%,14.95%
RWMGX,2.71%,6.96%,14.01%,1.98%,8.46%,18.38%,2.75%,5.08%,5.04%,11.17%,18.99%
VAW,85.65%,11.18%,0.00%,0.00%,0.00%,0.75%,0.00%,0.00%,0.52%,1.48%,0.00%
VBK,2.25%,11.91%,3.53%,5.93%,3.66%,19.25%,0.42%,2.93%,4.77%,16.02%,26.75%
VDC,0.19%,0.65%,0.00%,0.00%,97.71%,1.09%,0.00%,0.00%,0.00%,0.18%,0.00%
VEMPX,3.72%,11.70%,14.83%,6.79%,2.96%,12.40%,1.84%,3.73%,4.45%,14.15%,20.53%
VEUSX,6.67%,10.41%,17.69%,1.95%,10.80%,13.79%,3.64%,3.92%,5.97%,15.79%,7.23%
VEXAX,3.72%,11.70%,14.83%,6.79%,2.96%,12.40%,1.84%,3.73%,4.45%,14.15%,20.53%
VFIAX,2.38%,10.39%,12.38%,2.62%,7.15%,14.24%,2.86%,8.09%,4.60%,8.39%,26.60%
VHT,0.25%,0.01%,0.03%,0.00%,0.02%,99.29%,0.00%,0.00%,0.00%,0.07%,0.02%
VIGIX,1.86%,17.26%,6.44%,2.21%,2.60%,9.20%,0.00%,11.11%,1.37%,4.16%,43.59%
VIS,0.46%,1.62%,0.06%,0.73%,0.00%,0.03%,0.03%,0.04%,0.05%,92.78%,3.63%
VMVAX,5.98%,9.51%,17.54%,10.69%,6.83%,9.02%,13.53%,2.77%,2.87%,13.28%,7.41%
VOO,2.38%,10.39%,12.38%,2.62%,7.15%,14.24%,2.86%,8.09%,4.60%,8.39%,26.60%
VOT,3.64%,11.53%,5.71%,6.68%,1.34%,15.75%,0.00%,5.13%,6.42%,14.10%,29.36%
VPU,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,98.94%,0.00%,0.45%,0.00%,0.15%
VTI,2.57%,10.48%,12.50%,3.27%,6.51%,14.01%,2.76%,7.39%,4.46%,9.45%,25.57%
VTPSX,8.14%,10.89%,19.30%,3.32%,7.55%,8.77%,2.89%,5.47%,5.33%,13.72%,11.11%
VXF,3.72%,11.70%,14.83%,6.79%,2.96%,12.40%,1.84%,3.73%,4.45%,14.15%,20.53%
VXUS,8.14%,10.89%,19.30%,3.32%,7.55%,8.77%,2.89%,5.47%,5.33%,13.72%,11.11%
WFSPX,2.50%,10.42%,13.93%,2.77%,7.10%,14.36%,2.81%,7.64%,4.78%,8.67%,24.62%
