Fund_Code,Basic Materials,Consumer Cyclical,Financial Services,Real Estate,Consumer Defensive,Healthcare,Utilities,Communication Services,Energy,Industrials,Technology,1-Month,3-Month,1-Year,3-Year,5-Year,10-Year
BDBKX,4.23%,10.27%,15.86%,7.66%,4.21%,16.08%,3.46%,2.56%,6.66%,14.71%,13.51%,6.34%,6.65%,11.26%,11.26%,4.19%,8.26%
DIA,0.98%,13.48%,20.18%,0.00%,6.98%,20.09%,0.00%,2.47%,3.01%,13.94%,18.79%,3.35%,4.82%,12.26%,12.15%,9.24%,11.02%
QQQ,0.00%,14.48%,0.49%,0.23%,5.36%,5.78%,1.03%,17.14%,0.36%,3.81%,51.32%,4.57%,16.50%,29.11%,15.12%,17.03%,18.78%
RERGX,8.12%,13.81%,11.12%,0.35%,6.18%,13.17%,0.94%,3.07%,8.21%,13.65%,14.95%,0.94%,2.65%,13.49%,4.98%,4.04%,6.17%
RWMGX,2.71%,6.96%,14.01%,1.98%,8.46%,18.38%,2.75%,5.08%,5.04%,11.17%,18.99%,3.59%,7.51%,12.10%,14.78%,10.59%,11.44%
VAW,86.30%,10.93%,0.00%,0.00%,0.00%,0.82%,0.00%,0.00%,0.00%,1.57%,0.00%,8.14%,4.10%,13.56%,17.07%,8.57%,9.79%
VBK,2.18%,11.60%,3.52%,5.87%,3.77%,20.09%,0.42%,2.82%,4.49%,15.53%,27.02%,6.33%,7.97%,14.93%,5.60%,5.92%,9.11%
VDC,0.20%,0.62%,0.00%,0.00%,97.47%,0.93%,0.00%,0.00%,0.00%,0.16%,0.00%,1.56%,1.34%,6.67%,11.79%,10.22%,9.32%
VDE,0.37%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.00%,98.90%,0.00%,0.00%,3.89%,-0.13%,14.81%,37.23%,5.45%,3.40%
VEMPX,3.46%,11.30%,13.22%,6.60%,2.85%,12.94%,1.90%,3.76%,4.06%,13.99%,22.92%,6.90%,8.28%,13.05%,9.63%,6.02%,9.29%
VEUSX,5.94%,10.60%,16.04%,1.69%,11.09%,14.83%,3.77%,3.66%,5.25%,15.83%,7.94%,0.64%,3.37%,17.86%,10.03%,4.79%,5.71%
VEXAX,3.46%,11.30%,13.22%,6.60%,2.85%,12.94%,1.90%,3.76%,4.06%,13.99%,22.92%,6.90%,8.27%,13.04%,9.61%,6.00%,9.26%
VFIAX,2.18%,10.30%,11.97%,2.50%,6.82%,13.76%,2.68%,8.74%,4.17%,8.00%,28.62%,4.70%,9.60%,17.07%,14.68%,11.99%,12.69%
VGK,5.94%,10.60%,16.04%,1.69%,11.09%,14.83%,3.77%,3.66%,5.25%,15.83%,7.94%,0.54%,3.27%,18.17%,10.00%,4.84%,5.74%
VHT,0.24%,0.02%,0.03%,0.00%,0.02%,99.30%,0.00%,0.00%,0.00%,0.06%,0.01%,3.32%,3.77%,4.10%,10.07%,10.42%,12.46%
VIGIX,1.75%,16.46%,5.92%,1.99%,2.42%,8.64%,0.00%,11.79%,1.19%,3.96%,45.54%,5.07%,14.90%,24.40%,12.73%,14.16%,14.76%
VIS,0.47%,0.82%,0.06%,0.82%,0.00%,0.03%,0.03%,0.04%,0.04%,91.24%,5.78%,9.28%,9.16%,27.10%,18.13%,10.16%,11.45%
VMVAX,5.51%,9.65%,17.68%,11.01%,6.79%,9.30%,13.67%,2.57%,2.80%,13.34%,7.42%,6.63%,4.95%,7.92%,15.80%,6.93%,9.53%
VNQ,0.00%,0.00%,0.00%,97.97%,0.00%,0.00%,0.00%,0.78%,0.00%,0.00%,0.08%,5.96%,4.71%,-4.69%,6.10%,4.24%,6.07%
VOO,2.18%,10.30%,11.97%,2.50%,6.82%,13.76%,2.68%,8.74%,4.17%,8.00%,28.62%,4.72%,9.60%,17.10%,14.67%,11.96%,12.70%
VOT,3.57%,9.84%,5.38%,6.67%,1.42%,14.79%,0.00%,5.14%,6.05%,15.86%,30.74%,6.44%,7.24%,15.94%,8.56%,9.43%,10.90%
VPU,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99.31%,0.00%,0.42%,0.00%,0.17%,0.81%,-2.76%,-3.72%,7.78%,7.17%,8.97%
VTI,2.37%,10.35%,12.12%,3.13%,6.27%,13.73%,2.61%,7.97%,4.08%,9.07%,27.62%,5.04%,9.43%,16.56%,13.93%,11.05%,12.18%
VTIAX,7.70%,10.87%,18.21%,3.10%,7.63%,9.30%,3.02%,5.23%,5.04%,14.14%,12.29%,1.42%,2.94%,10.20%,7.23%,3.47%,4.94%
VTPSX,7.70%,10.87%,18.21%,3.10%,7.63%,9.30%,3.02%,5.23%,5.04%,14.14%,12.29%,1.44%,2.96%,10.27%,7.27%,3.51%,4.98%
VXF,3.46%,11.30%,13.22%,6.60%,2.85%,12.94%,1.90%,3.76%,4.06%,13.99%,22.92%,6.77%,8.25%,12.95%,9.58%,6.00%,9.27%
VXUS,7.70%,10.87%,18.21%,3.10%,7.63%,9.30%,3.02%,5.23%,5.04%,14.14%,12.29%,1.43%,3.11%,10.52%,7.28%,3.51%,4.97%
WFSPX,2.34%,10.00%,12.54%,2.61%,7.27%,14.39%,2.86%,8.23%,4.66%,8.24%,26.24%,4.70%,9.60%,17.09%,14.67%,12.01%,12.69%
